subject_id,specimen_site,sampleevent,genus,originalsampletype,cx_positive,distance_meters,mean_distance_meters
ICE_0050,ES1,1D,Acinetobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES1,1D,Citrobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES1,1D,Clostridioides,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES1,1D,Enterobacter,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES1,1D,Enterococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES1,1D,Escherichia,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES1,1D,Klebsiella,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES1,1D,Pseudomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES1,1D,Raoultella,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES1,1D,Staphylococcus,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES1,1D,Stenotrophomonas,Environmental Swab,FALSE,0.5,0.5
ICE_0050,ES2,1D,Acinetobacter,Environmental Swab,FALSE,2.5065449073333332,2.0662538254677347
ICE_0050,ES2,1D,Citrobacter,Environmental Swab,FALSE,2.5065449073333332,2.0662538254677347
ICE_0050,ES2,1D,Clostridioides,Environmental Swab,FALSE,2.5065449073333332,2.0662538254677347
ICE_0050,ES2,1D,Enterobacter,Environmental Swab,FALSE,2.5065449073333332,2.0662538254677347
ICE_0050,ES2,1D,Enterococcus,Environmental Swab,FALSE,2.5065449073333332,2.0662538254677347
ICE_0050,ES2,1D,Escherichia,Environmental Swab,FALSE,2.5065449073333332,2.0662538254677347
ICE_0050,ES2,1D,Klebsiella,Environmental Swab,FALSE,2.5065449073333332,2.0662538254677347
ICE_0050,ES2,1D,Pseudomonas,Environmental Swab,FALSE,2.5065449073333332,2.0662538254677347
ICE_0050,ES2,1D,Raoultella,Environmental Swab,FALSE,2.5065449073333332,2.0662538254677347
